Campaign Name,Objective,Day,Age,Gender,Delivery Level,Reach,Impressions,Frequency,Result Type,Results,Results [On Ad],Results [28 Days After Clicking],Cost per Result,Cost per Result [On Ad],Cost per Result [28 Days After Clicking],Amount Spent (USD),"CPM (Cost per 1,000 Impressions)",Link Clicks,Link Clicks [On Ad],CPC (Cost per Link Click),CPC (Cost per Link Click) [On Ad],CTR (Link Click-Through Rate),Clicks (All),CPC (All),CTR (All),Purchases Conversion Value,Purchases Conversion Value [28 Days After Clicking],Cost per Purchase,Cost per Purchase [28 Days After Clicking],Purchases,Purchases [28 Days After Clicking],Purchase ROAS (Return on Ad Spend),Purchase ROAS (Return on Ad Spend) [28 Days After Clicking]
EBD_2018_Promos,CONVERSIONS,2018-02-03,65+,female,campaign,32,35,1.09,,,,,,,,0.35,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-02,18-24,male,campaign,7584,8612,1.14,Website Purchases,8,,5,14.15,,22.64,113.18,13.14,34,34,3.33,3.33,0.39,94,1.2,1.09,606.71,392.01,14.15,22.64,8,5,5.36,3.46
EBD_2018_Promos,CONVERSIONS,2018-02-02,18-24,female,campaign,64638,76106,1.18,Website Purchases,78,,32,10.46,,25.49,815.52,10.72,362,362,2.25,2.25,0.48,637,1.28,0.84,4046.33,1698.97,10.46,25.49,78,32,4.96,2.08
EBD_2018_Promos,CONVERSIONS,2018-02-02,25-34,female,campaign,74302,88068,1.19,Website Purchases,64,,31,18.49,,38.18,1183.62,13.44,347,347,3.41,3.41,0.39,599,1.98,0.68,4403.58,2431.26,18.49,38.18,64,31,3.72,2.05
EBD_2018_Promos,CONVERSIONS,2018-02-02,25-34,male,campaign,7264,8211,1.13,Website Purchases,5,,3,22.27,,37.12,111.36,13.56,31,31,3.59,3.59,0.38,97,1.15,1.18,360.98,136.18,22.27,37.12,5,3,3.24,1.22
EBD_2018_Promos,CONVERSIONS,2018-02-02,35-44,male,campaign,1216,1247,1.03,Website Purchases,2,,,9.2,,,18.41,14.76,3,3,6.14,6.14,0.24,6,3.07,0.48,183.7,0,9.20,0,2,0,9.98,0
EBD_2018_Promos,CONVERSIONS,2018-02-02,45-54,female,campaign,194,194,1,,,,,,,,2.83,14.59,,,,,,3,0.94,1.55,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-02,55-64,male,campaign,0,3,0,,,,,,,,0.03,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-02,45-54,male,campaign,0,46,0,,,,,,,,0.64,13.91,,,,,,1,0.64,2.17,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-02,65+,female,campaign,32,36,1.13,,,,,,,,0.34,9.44,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-02,65+,male,campaign,0,4,0,,,,,,,,0.05,12.5,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-02,35-44,female,campaign,3456,3519,1.02,,,,,,,,45.61,12.96,,,,,,23,1.98,0.65,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-02,55-64,female,campaign,0,1,0,,,,,,,,0.02,20,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-01,25-34,male,campaign,7712,9198,1.19,Website Purchases,13,,3,10.49,,45.47,136.41,14.83,39,39,3.5,3.5,0.42,119,1.15,1.29,1020.6,295.95,10.49,45.47,13,3,7.48,2.17
EBD_2018_Promos,CONVERSIONS,2018-02-01,25-34,female,campaign,82460,97371,1.18,Website Purchases,114,,73,13.08,,20.43,1491.52,15.32,426,426,3.5,3.5,0.44,723,2.06,0.74,7417.77,4924.96,13.08,20.43,114,73,4.97,3.3
EBD_2018_Promos,CONVERSIONS,2018-02-01,18-24,female,campaign,58877,66267,1.13,Website Purchases,81,,34,9.76,,23.25,790.53,11.93,321,321,2.46,2.46,0.48,592,1.34,0.89,4732.49,1912.46,9.76,23.25,81,34,5.99,2.42
EBD_2018_Promos,CONVERSIONS,2018-02-01,18-24,male,campaign,7136,8548,1.2,Website Purchases,6,,3,20.95,,41.9,125.71,14.71,47,47,2.67,2.67,0.55,132,0.95,1.54,553.58,347.69,20.95,41.9,6,3,4.4,2.77
EBD_2018_Promos,CONVERSIONS,2018-02-01,35-44,female,campaign,928,1326,1.43,,,,,,,,20.57,15.51,1,1,20.57,20.57,0.08,12,1.71,0.9,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-01,35-44,male,campaign,1261,1261,1,,,,,,,,19.93,15.8,4,4,4.98,4.98,0.32,10,1.99,0.79,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-01,45-54,female,campaign,0,52,0,,,,,,,,0.81,15.58,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-01,65+,female,campaign,0,32,0,,,,,,,,0.49,15.31,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-01,45-54,male,campaign,0,25,0,,,,,,,,0.41,16.4,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-01,65+,male,campaign,0,12,0,,,,,,,,0.19,15.83,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-01,55-64,female,campaign,0,2,0,,,,,,,,0.04,20,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-02-01,55-64,male,campaign,0,1,0,,,,,,,,0.00,0,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-31,25-34,female,campaign,64479,79674,1.24,Website Purchases,86,,49,15.52,,27.24,1334.91,16.75,389,389,3.43,3.43,0.49,687,1.94,0.86,6786.64,3625.14,15.52,27.24,86,49,5.08,2.72
EBD_2018_Promos,CONVERSIONS,2018-01-31,18-24,female,campaign,52575,64292,1.22,Website Purchases,71,,40,12.18,,21.62,864.95,13.45,412,412,2.1,2.1,0.64,741,1.17,1.15,4392.69,2528.2,12.18,21.62,71,40,5.08,2.92
EBD_2018_Promos,CONVERSIONS,2018-01-31,25-34,male,campaign,8352,9730,1.16,Website Purchases,11,,5,14.61,,32.14,160.72,16.52,45,45,3.57,3.57,0.46,126,1.28,1.29,612.27,315.15,14.61,32.14,11,5,3.81,1.96
EBD_2018_Promos,CONVERSIONS,2018-01-31,18-24,male,campaign,8160,9242,1.13,Website Purchases,11,,4,13.99,,38.47,153.87,16.65,52,52,2.96,2.96,0.56,147,1.05,1.59,616.54,243.32,13.99,38.47,11,4,4.01,1.58
EBD_2018_Promos,CONVERSIONS,2018-01-31,35-44,male,campaign,960,1144,1.19,,,,,,,,20.30,17.74,6,6,3.38,3.38,0.52,12,1.69,1.05,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-31,35-44,female,campaign,64,296,4.63,,,,,,,,4.40,14.86,,,,,,1,4.4,0.34,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-31,65+,female,campaign,25,25,1,,,,,,,,0.38,15.2,,,,,,1,0.38,4,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-31,45-54,female,campaign,0,10,0,,,,,,,,0.15,15,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-31,65+,male,campaign,0,9,0,,,,,,,,0.13,14.44,1,1,0.13,0.13,11.11,1,0.13,11.11,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-31,55-64,female,campaign,0,1,0,,,,,,,,0.01,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-31,45-54,male,campaign,0,5,0,,,,,,,,0.16,32,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-30,65+,male,campaign,0,10,0,,,,,,,,0.14,14,1,1,0.14,0.14,10,1,0.14,10,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-30,18-24,female,campaign,55199,67418,1.22,Website Purchases,91,,54,9.54,,16.07,867.76,12.87,401,401,2.16,2.16,0.59,747,1.16,1.11,5500.85,3159.8,9.54,16.07,91,54,6.34,3.64
EBD_2018_Promos,CONVERSIONS,2018-01-30,45-54,male,campaign,0,1,0,,,,,,,,0.05,50,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-30,55-64,male,campaign,0,1,0,,,,,,,,0.01,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-30,45-54,female,campaign,0,2,0,,,,,,,,0.02,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-30,65+,female,campaign,0,16,0,,,,,,,,0.22,13.75,,,,,,1,0.22,6.25,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-30,35-44,female,campaign,64,85,1.33,,,,,,,,1.39,16.35,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-30,35-44,male,campaign,928,1143,1.23,Website Purchases,2,,2,9.86,,9.86,19.72,17.25,12,12,1.64,1.64,1.05,16,1.23,1.4,139.3,139.3,9.86,9.86,2,2,7.06,7.06
EBD_2018_Promos,CONVERSIONS,2018-01-30,25-34,male,campaign,6976,8103,1.16,Website Purchases,8,,4,15.1,,30.2,120.80,14.91,47,47,2.57,2.57,0.58,111,1.09,1.37,481.13,226.63,15.10,30.2,8,4,3.98,1.88
EBD_2018_Promos,CONVERSIONS,2018-01-30,18-24,male,campaign,7360,8501,1.16,Website Purchases,8,,2,16.28,,65.1,130.21,15.32,42,42,3.1,3.1,0.49,108,1.21,1.27,583.83,132.8,16.28,65.1,8,2,4.48,1.02
EBD_2018_Promos,CONVERSIONS,2018-01-30,25-34,female,campaign,74335,90823,1.22,Website Purchases,105,,53,13.62,,26.98,1429.96,15.74,474,474,3.02,3.02,0.52,832,1.72,0.92,7116.01,3694.54,13.62,26.98,105,53,4.98,2.58
EBD_2018_Promos,CONVERSIONS,2018-01-29,65+,male,campaign,0,4,0,,,,,,,,0.03,7.5,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-29,18-24,male,campaign,8380,10421,1.24,Website Purchases,15,,7,10.76,,23.05,161.34,15.48,67,67,2.41,2.41,0.64,130,1.24,1.25,1182.88,553,10.76,23.05,15,7,7.33,3.43
EBD_2018_Promos,CONVERSIONS,2018-01-29,35-44,male,campaign,1215,1499,1.23,Website Purchases,2,,2,13.25,,13.25,26.50,17.68,11,11,2.41,2.41,0.73,19,1.39,1.27,125.85,125.85,13.25,13.25,2,2,4.75,4.75
EBD_2018_Promos,CONVERSIONS,2018-01-29,35-44,female,campaign,64,72,1.13,,,,,,,,1.09,15.13,1,1,1.09,1.09,1.39,1,1.09,1.39,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-29,65+,female,campaign,25,25,1,,,,,,,,0.23,9.19,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-29,45-54,female,campaign,0,5,0,,,,,,,,0.06,11.99,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-29,18-24,unknown,campaign,0,1,0,,,,,,,,0.02,19.99,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-29,25-34,female,campaign,64928,78004,1.2,Website Purchases,71,,39,16.57,,30.17,1176.73,15.09,382,382,3.08,3.08,0.49,665,1.77,0.85,4247.81,2351.99,16.57,30.17,71,39,3.61,2
EBD_2018_Promos,CONVERSIONS,2018-01-29,18-24,female,campaign,68607,81606,1.19,Website Purchases,107,,49,8.1,,17.69,867.03,10.62,505,505,1.72,1.72,0.62,862,1.01,1.06,6287.32,2897.29,8.10,17.69,107,49,7.25,3.34
EBD_2018_Promos,CONVERSIONS,2018-01-29,25-34,male,campaign,9787,11805,1.21,Website Purchases,10,,2,17.42,,87.12,174.23,14.76,56,56,3.11,3.11,0.47,102,1.71,0.86,599.27,158.29,17.42,87.12,10,2,3.44,0.91
EBD_2018_Promos,CONVERSIONS,2018-01-28,18-24,unknown,campaign,0,1,0,,,,,,,,0.02,20,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-28,45-54,female,campaign,0,3,0,,,,,,,,0.02,6.67,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-28,65+,male,campaign,0,3,0,,,,,,,,0.03,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-28,65+,female,campaign,0,30,0,,,,,,,,0.20,6.67,1,1,0.2,0.2,3.33,1,0.2,3.33,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-28,35-44,male,campaign,608,923,1.52,Website Purchases,4,,3,4.55,,6.07,18.20,19.72,12,12,1.52,1.52,1.3,17,1.07,1.84,435.35,241.55,4.55,6.07,4,3,23.92,13.27
EBD_2018_Promos,CONVERSIONS,2018-01-28,35-44,female,campaign,64,65,1.02,,,,,,,,0.81,12.46,,,,,,1,0.81,1.54,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-28,25-34,male,campaign,6016,7015,1.17,Website Purchases,10,,3,11.02,,36.74,110.21,15.71,44,44,2.5,2.5,0.63,98,1.12,1.4,808.36,126.2,11.02,36.74,10,3,7.33,1.15
EBD_2018_Promos,CONVERSIONS,2018-01-28,18-24,male,campaign,7008,7511,1.07,Website Purchases,11,,5,10.68,,23.5,117.49,15.64,61,61,1.93,1.93,0.81,108,1.09,1.44,794.48,424.42,10.68,23.5,11,5,6.76,3.61
EBD_2018_Promos,CONVERSIONS,2018-01-28,18-24,female,campaign,67869,82575,1.22,Website Purchases,87,,49,9.89,,17.57,860.84,10.42,608,608,1.42,1.42,0.74,994,0.87,1.2,5253.56,2995.57,9.89,17.57,87,49,6.1,3.48
EBD_2018_Promos,CONVERSIONS,2018-01-28,25-34,female,campaign,78716,97241,1.24,Website Purchases,123,,67,12.06,,22.15,1483.78,15.26,598,598,2.48,2.48,0.61,993,1.49,1.02,8188.54,4076.01,12.06,22.15,123,67,5.52,2.75
EBD_2018_Promos,CONVERSIONS,2018-01-27,25-34,male,campaign,10015,11324,1.13,Website Purchases,12,,8,15.9,,23.86,190.84,16.85,81,81,2.36,2.36,0.72,140,1.36,1.24,873.04,475.73,15.90,23.86,12,8,4.57,2.49
EBD_2018_Promos,CONVERSIONS,2018-01-27,18-24,male,campaign,8096,10017,1.24,Website Purchases,9,,6,18.16,,27.23,163.40,16.31,87,87,1.88,1.88,0.87,146,1.12,1.46,543.08,377.58,18.16,27.23,9,6,3.32,2.31
EBD_2018_Promos,CONVERSIONS,2018-01-27,35-44,male,campaign,1440,1811,1.26,Website Purchases,2,,1,18.37,,36.74,36.74,20.29,12,12,3.06,3.06,0.66,23,1.6,1.27,151.7,68.85,18.37,36.74,2,1,4.13,1.87
EBD_2018_Promos,CONVERSIONS,2018-01-27,35-44,female,campaign,32,86,2.69,,,,,,,,1.42,16.51,,,,,,1,1.42,1.16,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-27,65+,female,campaign,0,22,0,,,,,,,,0.20,9.09,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-27,65+,male,campaign,0,8,0,,,,,,,,0.12,15,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-27,25-34,female,campaign,88539,108890,1.23,Website Purchases,146,,95,12.49,,19.2,1823.69,16.75,799,799,2.28,2.28,0.73,1366,1.34,1.25,10458.99,7108.43,12.49,19.2,146,95,5.74,3.9
EBD_2018_Promos,CONVERSIONS,2018-01-27,45-54,male,campaign,0,1,0,,,,,,,,0.02,20,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-27,55-64,female,campaign,0,1,0,,,,,,,,0.03,30,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-27,45-54,female,campaign,0,8,0,,,,,,,,0.17,21.25,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-27,18-24,female,campaign,58461,70331,1.2,Website Purchases,122,,88,6.44,,8.93,785.77,11.17,636,636,1.24,1.24,0.9,1037,0.76,1.47,8123.3,5883.03,6.44,8.93,122,88,10.34,7.49
EBD_2018_Promos,CONVERSIONS,2018-01-26,65+,female,campaign,0,28,0,,,,,,,,0.16,5.71,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-26,25-34,female,campaign,106232,124752,1.17,Website Purchases,150,,108,10.74,,14.91,1610.57,12.91,735,735,2.19,2.19,0.59,1099,1.47,0.88,9259.86,6980.96,10.74,14.91,150,108,5.75,4.33
EBD_2018_Promos,CONVERSIONS,2018-01-26,18-24,female,campaign,79930,95037,1.19,Website Purchases,154,,106,5.63,,8.19,867.73,9.13,698,698,1.24,1.24,0.73,1115,0.78,1.17,9636.33,6220.03,5.63,8.19,154,106,11.11,7.17
EBD_2018_Promos,CONVERSIONS,2018-01-26,25-34,male,campaign,15167,17238,1.14,Website Purchases,19,,11,11.88,,20.52,225.71,13.09,106,106,2.13,2.13,0.61,170,1.33,0.99,1362.18,945.51,11.88,20.52,19,11,6.04,4.19
EBD_2018_Promos,CONVERSIONS,2018-01-26,18-24,male,campaign,12991,14368,1.11,Website Purchases,8,,6,21.72,,28.96,173.73,12.09,113,113,1.54,1.54,0.79,165,1.05,1.15,561.23,419.22,21.72,28.96,8,6,3.23,2.41
EBD_2018_Promos,CONVERSIONS,2018-01-26,35-44,male,campaign,2688,2923,1.09,Website Purchases,2,,1,24.03,,48.07,48.07,16.44,21,21,2.29,2.29,0.72,33,1.46,1.13,158.45,58.85,24.03,48.07,2,1,3.3,1.22
EBD_2018_Promos,CONVERSIONS,2018-01-26,35-44,female,campaign,0,112,0,,,,,,,,1.60,14.28,1,1,1.6,1.6,0.89,2,0.8,1.79,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-26,45-54,male,campaign,0,1,0,,,,,,,,0.01,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-26,55-64,female,campaign,0,1,0,,,,,,,,0.01,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-26,65+,male,campaign,14,14,1,,,,,,,,0.13,9.28,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-26,45-54,female,campaign,0,7,0,,,,,,,,0.05,7.14,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-22,35-44,female,campaign,96,119,1.24,Website Purchases,3,,,0.64,,,1.93,16.22,,,,,,0,,0,128.13,0,0.64,0,3,0,66.4,0
EBD_2018_Promos,CONVERSIONS,2018-01-22,18-24,male,campaign,4543,5842,1.29,Website Purchases,8,,1,8.29,,66.32,66.32,11.35,9,9,7.37,7.37,0.15,15,4.42,0.26,365.54,37.11,8.29,66.32,8,1,5.51,0.56
EBD_2018_Promos,CONVERSIONS,2018-01-22,25-34,male,campaign,5407,6698,1.24,Website Purchases,14,,1,6.68,,93.51,93.51,13.96,6,6,15.58,15.58,0.09,14,6.68,0.21,913.32,106.28,6.68,93.51,14,1,9.77,1.14
EBD_2018_Promos,CONVERSIONS,2018-01-22,25-34,female,campaign,69014,86414,1.25,Website Purchases,74,,19,16.59,,64.63,1227.89,14.21,188,188,6.53,6.53,0.22,344,3.57,0.4,4561.18,1026.98,16.59,64.63,74,19,3.71,0.84
EBD_2018_Promos,CONVERSIONS,2018-01-22,18-24,female,campaign,25436,28795,1.13,Website Purchases,45,,16,9.7,,27.29,436.64,15.16,60,60,7.28,7.28,0.21,128,3.41,0.44,2348.24,912.57,9.70,27.29,45,16,5.38,2.09
EBD_2018_Promos,CONVERSIONS,2018-01-22,55-64,female,campaign,0,1,0,,,,,,,,0.01,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-22,45-54,female,campaign,0,5,0,,,,,,,,0.04,8,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-22,45-54,male,campaign,0,5,0,,,,,,,,0.10,20,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-22,65+,male,campaign,0,10,0,,,,,,,,0.23,23,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-22,65+,female,campaign,18,18,1,,,,,,,,0.19,10.55,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-22,35-44,male,campaign,1408,1547,1.1,Website Purchases,12,,1,2.39,,28.63,28.63,18.5,5,5,5.73,5.73,0.32,11,2.6,0.71,749.33,38.9,2.39,28.63,12,1,26.18,1.36
EBD_2018_Promos,CONVERSIONS,2018-01-21,25-34,male,campaign,12159,14633,1.2,Website Purchases,17,,6,12.08,,34.21,205.28,14.03,30,30,6.84,6.84,0.21,57,3.6,0.39,926.38,291.42,12.08,34.21,17,6,4.51,1.42
EBD_2018_Promos,CONVERSIONS,2018-01-21,18-24,male,campaign,10367,13076,1.26,Website Purchases,2,,,84.93,,,169.85,12.99,38,38,4.47,4.47,0.29,56,3.03,0.43,102.12,0,84.93,0,2,0,0.6,0
EBD_2018_Promos,CONVERSIONS,2018-01-21,35-44,male,campaign,3546,3546,1,Website Purchases,1,,,64.12,,,64.12,18.08,15,15,4.27,4.27,0.42,20,3.21,0.56,18.71,0,64.12,0,1,0,0.29,0
EBD_2018_Promos,CONVERSIONS,2018-01-21,35-44,female,campaign,0,1,0,,,,,,,,0.00,0,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-21,18-24,female,campaign,33662,42456,1.26,Website Purchases,36,,7,16.76,,86.21,603.44,14.21,98,98,6.16,6.16,0.23,206,2.93,0.49,1485.81,360,16.76,86.21,36,7,2.46,0.6
EBD_2018_Promos,CONVERSIONS,2018-01-21,25-34,female,campaign,60796,75105,1.24,Website Purchases,62,,25,15.28,,37.9,947.39,12.61,205,205,4.62,4.62,0.27,396,2.39,0.53,3181.51,1283.91,15.28,37.9,62,25,3.36,1.36
EBD_2018_Promos,CONVERSIONS,2018-01-20,18-24,male,campaign,9695,13486,1.39,Website Purchases,15,,5,8.91,,26.73,133.64,9.91,38,38,3.52,3.52,0.28,56,2.39,0.42,799.86,210.8,8.91,26.73,15,5,5.99,1.58
EBD_2018_Promos,CONVERSIONS,2018-01-20,18-24,female,campaign,25374,30197,1.19,Website Purchases,22,,6,20.11,,73.75,442.48,14.65,67,67,6.6,6.6,0.22,137,3.23,0.45,1376,368.67,20.11,73.75,22,6,3.11,0.83
EBD_2018_Promos,CONVERSIONS,2018-01-20,25-34,female,campaign,63770,81475,1.28,Website Purchases,51,,19,20.34,,54.61,1037.51,12.73,249,249,4.17,4.17,0.31,406,2.56,0.5,2700.72,968.17,20.34,54.61,51,19,2.6,0.93
EBD_2018_Promos,CONVERSIONS,2018-01-20,25-34,male,campaign,11839,15420,1.3,Website Purchases,21,,5,8.56,,35.97,179.86,11.66,50,50,3.6,3.6,0.32,84,2.14,0.54,1301.52,218.95,8.56,35.97,21,5,7.24,1.22
EBD_2018_Promos,CONVERSIONS,2018-01-20,35-44,male,campaign,3488,3994,1.15,Website Purchases,8,,4,7.61,,15.21,60.84,15.23,26,26,2.34,2.34,0.65,35,1.74,0.88,502.16,179.46,7.61,15.21,8,4,8.25,2.95
EBD_2018_Promos,CONVERSIONS,2018-01-20,65+,female,campaign,0,2,0,,,,,,,,0.03,15,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-20,35-44,female,campaign,0,3,0,,,,,,,,0.04,13.33,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-19,25-34,female,campaign,47289,58566,1.24,Website Purchases,59,,26,15.72,,35.66,927.23,15.83,145,145,6.39,6.39,0.25,269,3.45,0.46,3558.78,1644.32,15.72,35.66,59,26,3.84,1.77
EBD_2018_Promos,CONVERSIONS,2018-01-19,18-24,female,campaign,37531,42790,1.14,Website Purchases,41,,15,16.42,,44.87,673.06,15.73,94,94,7.16,7.16,0.22,207,3.25,0.48,2142.62,645.95,16.42,44.87,41,15,3.18,0.96
EBD_2018_Promos,CONVERSIONS,2018-01-19,18-24,male,campaign,7391,8204,1.11,Website Purchases,5,,,21.72,,,108.58,13.23,17,17,6.39,6.39,0.21,27,4.02,0.33,279.58,0,21.72,0,5,0,2.57,0
EBD_2018_Promos,CONVERSIONS,2018-01-19,35-44,male,campaign,1376,1911,1.39,Website Purchases,1,,,35.08,,,35.08,18.36,5,5,7.02,7.02,0.26,10,3.51,0.52,47.9,0,35.08,0,1,0,1.37,0
EBD_2018_Promos,CONVERSIONS,2018-01-19,45-54,female,campaign,10,10,1,,,,,,,,0.29,29,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-19,35-44,female,campaign,57,57,1,,,,,,,,0.95,16.66,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-19,65+,female,campaign,0,10,0,Website Purchases,1,,1,0.17,,0.17,0.17,17,1,1,0.17,0.17,10,1,0.17,10,96.31,96.31,0.17,0.17,1,1,566.59,566.59
EBD_2018_Promos,CONVERSIONS,2018-01-19,25-34,male,campaign,6047,7807,1.29,Website Purchases,7,,,17.07,,,119.48,15.3,19,19,6.29,6.29,0.24,35,3.41,0.45,383.99,0,17.07,0,7,0,3.21,0
EBD_2018_Promos,CONVERSIONS,2018-01-18,18-24,female,campaign,56468,67337,1.19,Website Purchases,62,,15,12.52,,51.76,776.33,11.53,143,143,5.43,5.43,0.21,282,2.75,0.42,3144.13,820.12,12.52,51.76,62,15,4.05,1.06
EBD_2018_Promos,CONVERSIONS,2018-01-18,18-24,male,campaign,5599,7215,1.29,Website Purchases,10,,4,6.68,,16.69,66.76,9.25,23,23,2.9,2.9,0.32,38,1.76,0.53,570.67,201.57,6.68,16.69,10,4,8.55,3.02
EBD_2018_Promos,CONVERSIONS,2018-01-18,25-34,female,campaign,72689,89850,1.24,Website Purchases,67,,20,14.37,,48.13,962.66,10.71,217,217,4.44,4.44,0.24,402,2.39,0.45,4374.04,1144.6,14.37,48.13,67,20,4.54,1.19
EBD_2018_Promos,CONVERSIONS,2018-01-18,25-34,male,campaign,5055,6096,1.21,Website Purchases,6,,,10.57,,,63.45,10.41,12,12,5.29,5.29,0.2,23,2.76,0.38,231.79,0,10.57,0,6,0,3.65,0
EBD_2018_Promos,CONVERSIONS,2018-01-18,35-44,male,campaign,1024,1280,1.25,Website Purchases,1,,,18,,,18.00,14.06,8,8,2.25,2.25,0.63,11,1.64,0.86,100.95,0,18.00,0,1,0,5.61,0
EBD_2018_Promos,CONVERSIONS,2018-01-18,35-44,female,campaign,20,20,1,,,,,,,,0.21,10.5,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-18,45-54,female,campaign,0,3,0,,,,,,,,0.05,16.66,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-18,18-24,unknown,campaign,3,3,1,,,,,,,,0.05,16.66,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-18,65+,female,campaign,0,1,0,,,,,,,,0.00,0,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-18,45-54,male,campaign,0,1,0,,,,,,,,0.01,10,,,,,,0,,0,,,,,,,,
EBD_2018_Promos,CONVERSIONS,2018-01-17,25-34,female,campaign,59383,69670,1.17,Website Purchases,67,,25,10.56,,28.3,707.43,10.15,167,167,4.24,4.24,0.24,340,2.08,0.49,4597.88,1603.13,10.56,28.3,67,25,6.5,2.27
